"especievalida","min","max","ET_ID"
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29048
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20049
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20338
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15058
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29008
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20268
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20403
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20033
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26048
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15108
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",9006
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29053
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26071
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29057
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20145
"Politic01.p02 Monto sembrando vida 2019 (mdp)_54.5 : 250","Politic01decil","Politic01decil",21119
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29044
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29042
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",10036
"Politic01.p02 Monto sembrando vida 2019 (mdp)_54.5 : 250","Politic01decil","Politic01decil",8037
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15031
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15022
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15125
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20375
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20387
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20007
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20390
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26026
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20061
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26047
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21181
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15076
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20227
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",24025
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",16011
"Politic01.p02 Monto sembrando vida 2019 (mdp)_54.5 : 250","Politic01decil","Politic01decil",9017
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",1004
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32037
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15053
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20488
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",13069
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32053
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15011
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",1011
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15055
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21146
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20452
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32016
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29011
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20301
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32035
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26064
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",9014
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21041
"Politic01.p07 Monto sembrando vida 2019 (mdp)_18 295 : 24 958.5","Politic01decil","Politic01decil",10029
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20106
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20238
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29059
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",9015
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29045
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20360
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15027
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26025
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20144
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26046
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32054
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21182
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29029
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20241
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15059
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20380
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20493
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32032
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",14070
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",19046
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15073
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20399
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",9002
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20101
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20556
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29019
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",8005
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29051
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15012
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21128
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29049
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26056
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21133
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26017
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20096
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",1009
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29016
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",15122
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21171
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32025
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",17031
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26004
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32039
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21126
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20165
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8024
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21136
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",5010
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26055
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26020
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29039
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15006
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15061
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20224
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26065
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15072
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21148
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15028
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32017
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26072
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",16105
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20558
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26058
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15054
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15081
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",24033
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",1002
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32056
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21140
"Politic01.p02 Monto sembrando vida 2019 (mdp)_54.5 : 250","Politic01decil","Politic01decil",15024
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",5017
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32022
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21052
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",1007
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",17033
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8026
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",9011
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",13074
"Politic01.p02 Monto sembrando vida 2019 (mdp)_54.5 : 250","Politic01decil","Politic01decil",15070
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20250
"Politic01.p02 Monto sembrando vida 2019 (mdp)_54.5 : 250","Politic01decil","Politic01decil",10007
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20054
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",1010
"Politic01.p08 Monto sembrando vida 2019 (mdp)_24 958.5 : 42 618","Politic01decil","Politic01decil",10027
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20197
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20385
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21095
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20023
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29002
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32050
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21021
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29032
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29035
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32002
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29005
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21102
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26036
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26028
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21020
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20243
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",17003
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32036
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20343
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20289
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29041
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",8004
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8058
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20369
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20099
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8001
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",1006
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29027
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",16060
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",11031
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8067
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20256
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26037
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",17006
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",28009
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21139
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29001
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20456
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29007
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32052
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",13082
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",11024
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",17034
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32051
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8014
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",11026
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29026
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",10010
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21060
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20303
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15084
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15023
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20521
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8039
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20062
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",9007
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20310
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32024
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29047
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29023
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",17035
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26014
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",24035
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",13010
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20351
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20290
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8055
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21132
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",28015
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",32029
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20518
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20350
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21131
"Politic01.p04 Monto sembrando vida 2019 (mdp)_2 945 : 7 136","Politic01decil","Politic01decil",30120
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20550
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29017
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",11016
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",26033
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15029
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20568
"Politic01.p01 Monto sembrando vida 2019 (mdp)_5 : 54.5","Politic01decil","Politic01decil",8045
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21066
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20547
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15071
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",15092
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21214
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",14039
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20068
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20078
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20140
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29009
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21082
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21153
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20368
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21134
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8038
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",8016
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20349
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",13070
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",21031
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29018
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",20047
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",19035
"Politic01.p00 Monto sembrando vida 2019 (mdp)_0","Politic01decil","Politic01decil",29038
